year,system_name,school_name,subgroup,n_count,n_ready_grad,pct_ready_grad
2018,Davidson County,MNPS Virtual School,All Students,26,13,50
2018,Davidson County,MNPS Virtual School,Asian,1,*,*
2018,Davidson County,MNPS Virtual School,Black or African American,2,*,*
2018,Davidson County,MNPS Virtual School,Black/Hispanic/Native American,4,*,*
2018,Davidson County,MNPS Virtual School,Economically Disadvantaged,4,*,*
2018,Davidson County,MNPS Virtual School,English Learners with Transitional 1-4,1,*,*
2018,Davidson County,MNPS Virtual School,Hispanic,2,*,*
2018,Davidson County,MNPS Virtual School,Non-Economically Disadvantaged,22,13,59.1
2018,Davidson County,MNPS Virtual School,Non-English Learners,25,13,52
2018,Davidson County,MNPS Virtual School,Non-Students with Disabilities,24,13,54.2
2018,Davidson County,MNPS Virtual School,Students with Disabilities,2,*,*
2018,Davidson County,MNPS Virtual School,Super Subgroup,8,*,*
2018,Davidson County,MNPS Virtual School,White,21,10,47.6
2018,Davidson County,Antioch High School,All Students,563,119,21.1
2018,Davidson County,Antioch High School,American Indian or Alaska Native,1,*,*
2018,Davidson County,Antioch High School,Asian,13,4,30.8
2018,Davidson County,Antioch High School,Black or African American,195,27,13.8
2018,Davidson County,Antioch High School,Black/Hispanic/Native American,403,64,15.9
2018,Davidson County,Antioch High School,Economically Disadvantaged,299,56,18.7
2018,Davidson County,Antioch High School,English Learners with Transitional 1-4,154,19,12.3
2018,Davidson County,Antioch High School,Hispanic,207,36,17.4
2018,Davidson County,Antioch High School,Native Hawaiian or Other Pacific Islander,4,*,*
2018,Davidson County,Antioch High School,Non-Economically Disadvantaged,264,63,23.9
2018,Davidson County,Antioch High School,Non-English Learners,409,100,24.4
2018,Davidson County,Antioch High School,Non-Students with Disabilities,505,118,23.4
2018,Davidson County,Antioch High School,Students with Disabilities,58,**,**
2018,Davidson County,Antioch High School,Super Subgroup,520,99,19
2018,Davidson County,Antioch High School,White,143,50,35
2018,Davidson County,Nashville Big Picture High School,All Students,25,7,28
2018,Davidson County,Nashville Big Picture High School,Black or African American,14,2,14.3
2018,Davidson County,Nashville Big Picture High School,Black/Hispanic/Native American,16,2,12.5
2018,Davidson County,Nashville Big Picture High School,Economically Disadvantaged,11,2,18.2
2018,Davidson County,Nashville Big Picture High School,Hispanic,2,*,*
2018,Davidson County,Nashville Big Picture High School,Non-Economically Disadvantaged,14,5,35.7
2018,Davidson County,Nashville Big Picture High School,Non-English Learners,25,7,28
2018,Davidson County,Nashville Big Picture High School,Non-Students with Disabilities,23,6,26.1
2018,Davidson County,Nashville Big Picture High School,Students with Disabilities,2,*,*
2018,Davidson County,Nashville Big Picture High School,Super Subgroup,20,4,20
2018,Davidson County,Nashville Big Picture High School,White,9,*,*
2018,Davidson County,Cane Ridge High School,All Students,494,92,18.6
2018,Davidson County,Cane Ridge High School,Asian,34,5,14.7
2018,Davidson County,Cane Ridge High School,Black or African American,213,37,17.4
2018,Davidson County,Cane Ridge High School,Black/Hispanic/Native American,363,53,14.6
2018,Davidson County,Cane Ridge High School,Economically Disadvantaged,272,41,15.1
2018,Davidson County,Cane Ridge High School,English Learners with Transitional 1-4,127,**,**
2018,Davidson County,Cane Ridge High School,Hispanic,150,16,10.7
2018,Davidson County,Cane Ridge High School,Non-Economically Disadvantaged,222,51,23
2018,Davidson County,Cane Ridge High School,Non-English Learners,367,86,23.4
2018,Davidson County,Cane Ridge High School,Non-Students with Disabilities,452,91,20.1
2018,Davidson County,Cane Ridge High School,Students with Disabilities,42,**,**
2018,Davidson County,Cane Ridge High School,Super Subgroup,454,69,15.2
